1 	Leeds Utd 	6 	6 	0 	0 	10 	3 	+7 	18
2 	Norwich City 	6 	4 	2 	0 	13 	6 	+7 	14
3 	West Bromwich 	6 	4 	2 	0 	13 	6 	+7 	14
4 	Stoke City 	6 	3 	3 	0 	11 	7 	+4 	12
5 	Hull City 	6 	3 	2 	1 	10 	8 	+2 	11
6 	Derby County 	6 	3 	2 	1 	7 	5 	+2 	11
7 	Birmingham City 	6 	3 	1 	2 	12 	7 	+5 	10
8 	Preston 	6 	3 	1 	2 	9 	8 	+1 	10
9 	Aston Villa 	6 	2 	3 	1 	18 	14 	+4 	9
10 	Bristol City 	6 	2 	3 	1 	8 	8 	0 	9
11 	Nottm Forest 	6 	2 	2 	2 	9 	7 	+2 	8
12 	Sheffield Utd 	6 	2 	2 	2 	9 	8 	+1 	8
13 	QP Rangers 	6 	2 	2 	2 	10 	10 	0 	8
14 	Middlesbrough 	6 	2 	2 	2 	6 	8 	-2 	8
15 	Sheffield Wed 	6 	2 	1 	3 	8 	10 	-2 	7
16 	Swansea City 	6 	2 	0 	4 	10 	14 	-4 	6
17 	Wigan Athletic 	6 	1 	2 	3 	4 	7 	-3 	5
18 	Blackburn 	6 	1 	2 	3 	9 	13 	-4 	5
19 	Brentford 	6 	1 	1 	4 	7 	11 	-4 	4
20 	Ipswich Town 	6 	1 	1 	4 	5 	10 	-5 	4
21 	Rotherham 	6 	0 	4 	2 	8 	14 	-6 	4
22 	Millwall 	6 	0 	3 	3 	6 	10 	-4 	3
23 	Reading 	6 	0 	3 	3 	3 	7 	-4 	3
24 	Bolton 	6 	0 	2 	4 	4 	8 	-4 	2 
