	Average goals at home 	  	Average goals away 	  	Avgerage goals overall 	Pld
Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total
 Aston Villa  	2.30 	1.65 	3.95 	   	1.26 	1.16 	2.42 	   	1.79 	1.41 	3.21 	39
 Birmingham City  	1.37 	1.05 	2.42 	   	1.45 	1.60 	3.05 	   	1.41 	1.33 	2.74 	39
 Blackburn  	1.37 	0.95 	2.32 	   	1.35 	2.20 	3.55 	   	1.36 	1.59 	2.95 	39
 Bolton  	0.63 	1.47 	2.11 	   	0.80 	1.80 	2.60 	   	0.72 	1.64 	2.36 	39
 Brentford  	2.11 	1.05 	3.16 	   	1.00 	1.65 	2.65 	   	1.54 	1.36 	2.90 	39
 Bristol City  	1.16 	1.00 	2.16 	   	1.42 	1.11 	2.53 	   	1.29 	1.05 	2.34 	38
 Derby County  	1.55 	0.95 	2.50 	   	1.17 	1.44 	2.61 	   	1.37 	1.18 	2.55 	38
 Hull City  	1.63 	0.95 	2.58 	   	1.25 	1.90 	3.15 	   	1.44 	1.44 	2.87 	39
 Ipswich Town  	0.90 	1.35 	2.25 	   	0.63 	1.95 	2.58 	   	0.77 	1.64 	2.41 	39
 Leeds Utd  	1.75 	0.90 	2.65 	   	1.63 	1.21 	2.84 	   	1.69 	1.05 	2.74 	39
 Middlesbrough  	0.95 	0.80 	1.75 	   	1.11 	0.89 	2.00 	   	1.03 	0.85 	1.87 	39
 Millwall  	1.22 	1.33 	2.56 	   	1.05 	1.70 	2.75 	   	1.13 	1.53 	2.66 	38
 Norwich City  	2.16 	1.53 	3.68 	   	1.85 	0.95 	2.80 	   	2.00 	1.23 	3.23 	39
 Nottm Forest  	1.45 	0.95 	2.40 	   	1.32 	1.37 	2.68 	   	1.38 	1.15 	2.54 	39
 Preston  	1.79 	1.26 	3.05 	   	1.25 	1.40 	2.65 	   	1.51 	1.33 	2.85 	39
 QP Rangers  	1.40 	1.40 	2.80 	   	0.95 	1.74 	2.68 	   	1.18 	1.56 	2.74 	39
 Reading  	1.35 	1.50 	2.85 	   	0.79 	1.42 	2.21 	   	1.08 	1.46 	2.54 	39
 Rotherham  	1.42 	1.58 	3.00 	   	0.70 	1.85 	2.55 	   	1.05 	1.72 	2.77 	39
 Sheffield Utd  	1.85 	0.80 	2.65 	   	1.53 	1.11 	2.63 	   	1.69 	0.95 	2.64 	39
 Sheffield Wed  	1.42 	1.16 	2.58 	   	1.05 	1.45 	2.50 	   	1.23 	1.31 	2.54 	39
 Stoke City  	1.00 	0.90 	1.90 	   	0.89 	1.26 	2.16 	   	0.95 	1.08 	2.03 	39
 Swansea City  	1.61 	1.11 	2.72 	   	1.00 	1.40 	2.40 	   	1.29 	1.26 	2.55 	38
 West Bromwich  	2.20 	1.35 	3.55 	   	1.63 	1.21 	2.84 	   	1.92 	1.28 	3.21 	39
 Wigan Athletic  	1.25 	0.95 	2.20 	   	0.84 	2.00 	2.84 	   	1.05 	1.46 	2.51 	39 
