1	Swansea 	49	13	351	54.9	83.3	18.6	6.72
2	Brentford 	60	15	632	56.5	79.9	15.9	6.72
3	Aston Villa 	70	13.9	681	53.4	79.6	22.9	6.80
4	Leeds 	66	16	684	59.5	79.2	21.6	6.84
5	Norwich 	78	14.7	720	55.1	78.8	17.6	6.85
6	West Bromwich Albion 	75	13.8	663	51.7	77.6	21.3	6.83
7	Derby 	52	13.5	771	53.9	77.1	19.4	6.67
8	Reading 	42	11.3	693	50.3	76.8	22.7	6.67
9	Stoke 	37	10.9	663	51.0	76.6	23.7	6.69
10	Sheffield United 	66	12.7	692	50.7	75.8	24.9	6.88
11	Nottingham Forest 	54	11.9	945	49.8	73.4	20.9	6.78
12	Sheffield Wednesday 	48	11.6	632	48.6	72.9	28.2	6.76
13	Bristol City 	49	12.9	631	50.9	71.9	30.6	6.81
14	Middlesbrough 	40	13.9	713	46.0	71.0	27.3	6.75
15	Preston 	59	12.9	585	51.1	70.4	31.9	6.77
16	Blackburn 	53	11.5	592	50.1	70.1	24.5	6.68
17	Wigan 	41	12.4	823	48.5	69.8	27	6.59
18	Queens Park Rangers 	46	13.3	741	46.4	69.0	30.2	6.69
19	Hull 	56	10.7	571	46.8	68.3	26.6	6.74
20	Ipswich 	30	10	624	49.5	67.4	29	6.54
21	Bolton 	28	9.8	724	43.2	65.8	33.9	6.61
22	Millwall 	43	11.7	671	45.0	63.6	33.7	6.65
23	Birmingham 	55	12.4	713	43.6	61.9	34.6	6.80
24	Rotherham 	41	13.3	613	43.7	61.0	33.8	6.65
