1	Swansea 	43	12.5	321	54.0	82.4	19.4	6.71
2	Aston Villa 	57	14	591	53.4	79.7	23.7	6.76
3	Leeds 	55	16.2	573	59.8	79.5	22	6.82
4	Brentford 	55	15.3	522	56.1	79.3	16	6.75
5	Norwich 	68	14.9	640	54.9	78.7	18.1	6.85
6	West Bromwich Albion 	67	14	593	52.7	78.3	21.9	6.83
7	Derby 	43	13.6	691	54.1	77.4	19.8	6.67
8	Stoke 	35	11.3	562	51.2	77.3	23.9	6.67
9	Reading 	35	11.5	583	50.6	77.2	22.5	6.66
10	Sheffield United 	59	12.9	651	51.1	75.7	25	6.86
11	Nottingham Forest 	47	11.5	815	50.2	73.7	20.6	6.79
12	Sheffield Wednesday 	39	11.8	522	48.8	73.3	27.1	6.72
13	Bristol City 	42	13.1	451	50.9	72.1	29.1	6.82
14	Middlesbrough 	38	13.4	592	46.2	70.8	27.8	6.80
15	Wigan 	33	12.6	723	48.8	70.7	26.8	6.59
16	Preston 	53	13	524	50.8	70.3	32.1	6.77
17	Blackburn 	45	11	522	49.8	69.7	24.5	6.69
18	Queens Park Rangers 	41	13.1	620	45.9	69.6	29.4	6.69
19	Hull 	46	10.8	461	46.4	68.0	26.5	6.71
20	Ipswich 	26	9.2	534	49.2	66.9	29.2	6.52
21	Bolton 	22	9.6	702	43.1	66.1	33.9	6.61
22	Millwall 	36	11.7	541	45.1	63.8	33.4	6.64
23	Birmingham 	51	12.3	573	43.2	61.9	34.3	6.84
24	Rotherham 	34	13.8	542	44.0	61.1	34	6.67
