1 	Bristol City 	6 	5 	1 	0 	9 	2 	+7 	16
2 	Hull City 	6 	4 	1 	1 	15 	5 	+10 	13
3 	Sheffield Utd 	6 	4 	1 	1 	11 	3 	+8 	13
4 	Brentford 	6 	3 	3 	0 	14 	7 	+7 	12
5 	Blackburn 	6 	4 	0 	2 	11 	9 	+2 	12
6 	Middlesbrough 	6 	3 	2 	1 	9 	6 	+3 	11
7 	Millwall 	6 	3 	2 	1 	6 	5 	+1 	11
8 	Sheffield Wed 	6 	3 	2 	1 	5 	5 	0 	11
9 	Preston 	6 	2 	3 	1 	9 	5 	+4 	9
10 	Norwich City 	6 	2 	3 	1 	13 	10 	+3 	9
11 	Swansea City 	6 	2 	3 	1 	11 	9 	+2 	9
12 	West Bromwich 	6 	2 	2 	2 	9 	7 	+2 	8
13 	Derby County 	6 	2 	2 	2 	8 	10 	-2 	8
14 	Wigan Athletic 	6 	2 	1 	3 	8 	10 	-2 	7
15 	Aston Villa 	6 	1 	4 	1 	7 	9 	-2 	7
16 	Birmingham City 	6 	1 	3 	2 	8 	9 	-1 	6
17 	Nottm Forest 	6 	2 	0 	4 	7 	9 	-2 	6
18 	Reading 	6 	1 	3 	2 	5 	7 	-2 	6
19 	Leeds Utd 	6 	2 	0 	4 	8 	12 	-4 	6
20 	QP Rangers 	6 	1 	2 	3 	7 	9 	-2 	5
21 	Rotherham 	6 	1 	1 	4 	5 	9 	-4 	4
22 	Stoke City 	6 	1 	1 	4 	3 	10 	-7 	4
23 	Ipswich Town 	6 	1 	0 	5 	4 	10 	-6 	3
24 	Bolton 	6 	0 	2 	4 	2 	13 	-11 	2 
