1 	Norwich City 	6 	5 	0 	1 	17 	7 	+10 	15
2 	Sheffield Utd 	6 	4 	2 	0 	11 	3 	+8 	14
3 	Brentford 	6 	4 	0 	2 	15 	7 	+8 	12
4 	Preston 	6 	3 	3 	0 	9 	4 	+5 	12
5 	Middlesbrough 	6 	3 	2 	1 	7 	4 	+3 	11
6 	Sheffield Wed 	6 	2 	4 	0 	7 	3 	+4 	10
7 	Leeds Utd 	6 	3 	1 	2 	10 	7 	+3 	10
8 	Bristol City 	6 	3 	1 	2 	9 	7 	+2 	10
9 	Birmingham City 	6 	3 	1 	2 	10 	9 	+1 	10
10 	Hull City 	6 	3 	1 	2 	9 	10 	-1 	10
11 	West Bromwich 	6 	3 	1 	2 	8 	9 	-1 	10
12 	Reading 	6 	2 	3 	1 	5 	7 	-2 	9
13 	Rotherham 	6 	1 	5 	0 	9 	8 	+1 	8
14 	Nottm Forest 	6 	2 	2 	2 	5 	7 	-2 	8
15 	Wigan Athletic 	6 	1 	4 	1 	5 	6 	-1 	7
16 	Swansea City 	6 	2 	1 	3 	8 	10 	-2 	7
17 	Aston Villa 	6 	1 	3 	2 	8 	7 	+1 	6
18 	Stoke City 	6 	1 	3 	2 	4 	5 	-1 	6
19 	Derby County 	6 	1 	2 	3 	3 	7 	-4 	5
20 	Millwall 	6 	1 	1 	4 	4 	9 	-5 	4
21 	Ipswich Town 	6 	0 	3 	3 	4 	9 	-5 	3
22 	QP Rangers 	6 	1 	0 	5 	7 	14 	-7 	3
23 	Bolton 	6 	1 	0 	5 	3 	12 	-9 	3
24 	Blackburn 	6 	0 	1 	5 	7 	14 	-7 	1 
