	Average goals at home 	  	Average goals away 	  	Avgerage goals overall 	Pld
Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total
 Aston Villa  	2.28 	1.78 	4.06 	   	1.18 	1.24 	2.41 	   	1.74 	1.51 	3.26 	35
 Birmingham City  	1.53 	1.00 	2.53 	   	1.50 	1.56 	3.06 	   	1.51 	1.29 	2.80 	35
 Blackburn  	1.35 	1.00 	2.35 	   	1.33 	2.11 	3.44 	   	1.34 	1.57 	2.91 	35
 Bolton  	0.59 	1.47 	2.06 	   	0.67 	1.67 	2.33 	   	0.63 	1.57 	2.20 	35
 Brentford  	2.22 	1.06 	3.28 	   	1.13 	1.69 	2.81 	   	1.71 	1.35 	3.06 	34
 Bristol City  	1.24 	1.00 	2.24 	   	1.35 	1.12 	2.47 	   	1.29 	1.06 	2.35 	34
 Derby County  	1.38 	1.00 	2.38 	   	1.17 	1.44 	2.61 	   	1.26 	1.24 	2.50 	34
 Hull City  	1.61 	0.89 	2.50 	   	1.24 	1.88 	3.12 	   	1.43 	1.37 	2.80 	35
 Ipswich Town  	0.94 	1.33 	2.28 	   	0.59 	2.06 	2.65 	   	0.77 	1.69 	2.46 	35
 Leeds Utd  	1.78 	0.83 	2.61 	   	1.59 	1.35 	2.94 	   	1.69 	1.09 	2.77 	35
 Middlesbrough  	1.06 	0.63 	1.69 	   	1.17 	0.78 	1.94 	   	1.12 	0.71 	1.82 	34
 Millwall  	1.22 	1.33 	2.56 	   	0.94 	1.71 	2.65 	   	1.09 	1.51 	2.60 	35
 Norwich City  	2.18 	1.59 	3.76 	   	1.89 	1.00 	2.89 	   	2.03 	1.29 	3.31 	35
 Nottm Forest  	1.35 	0.88 	2.24 	   	1.33 	1.39 	2.72 	   	1.34 	1.14 	2.49 	35
 Preston  	1.83 	1.33 	3.17 	   	1.24 	1.47 	2.71 	   	1.54 	1.40 	2.94 	35
 QP Rangers  	1.53 	1.41 	2.94 	   	0.89 	1.72 	2.61 	   	1.20 	1.57 	2.77 	35
 Reading  	1.29 	1.41 	2.71 	   	0.83 	1.50 	2.33 	   	1.06 	1.46 	2.51 	35
 Rotherham  	1.44 	1.56 	3.00 	   	0.65 	1.65 	2.29 	   	1.06 	1.60 	2.66 	35
 Sheffield Utd  	1.82 	0.76 	2.59 	   	1.56 	1.17 	2.72 	   	1.69 	0.97 	2.66 	35
 Sheffield Wed  	1.28 	1.11 	2.39 	   	1.06 	1.65 	2.71 	   	1.17 	1.37 	2.54 	35
 Stoke City  	1.11 	1.00 	2.11 	   	1.00 	1.41 	2.41 	   	1.06 	1.20 	2.26 	35
 Swansea City  	1.53 	1.18 	2.71 	   	1.12 	1.29 	2.41 	   	1.32 	1.24 	2.56 	34
 West Bromwich  	2.18 	1.41 	3.59 	   	1.67 	1.28 	2.94 	   	1.91 	1.34 	3.26 	35
 Wigan Athletic  	1.11 	0.94 	2.06 	   	0.81 	1.88 	2.69 	   	0.97 	1.38 	2.35 	34 
