	Average goals at home 	  	Average goals away 	  	Avgerage goals overall 	Pld
Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total
 Aston Villa  	2.33 	1.83 	4.17 	   	1.46 	1.23 	2.69 	   	1.88 	1.52 	3.40 	25
 Birmingham City  	1.62 	0.92 	2.54 	   	1.33 	1.25 	2.58 	   	1.48 	1.08 	2.56 	25
 Blackburn  	1.33 	1.17 	2.50 	   	1.15 	2.00 	3.15 	   	1.24 	1.60 	2.84 	25
 Bolton  	0.62 	1.23 	1.85 	   	0.75 	1.33 	2.08 	   	0.68 	1.28 	1.96 	25
 Brentford  	1.83 	1.17 	3.00 	   	1.00 	1.62 	2.62 	   	1.40 	1.40 	2.80 	25
 Bristol City  	1.08 	1.00 	2.08 	   	1.33 	1.25 	2.58 	   	1.20 	1.12 	2.32 	25
 Derby County  	1.42 	1.08 	2.50 	   	1.54 	1.38 	2.92 	   	1.48 	1.24 	2.72 	25
 Hull City  	1.00 	1.08 	2.08 	   	1.38 	1.54 	2.92 	   	1.20 	1.32 	2.52 	25
 Ipswich Town  	0.92 	1.33 	2.25 	   	0.62 	2.08 	2.69 	   	0.76 	1.72 	2.48 	25
 Leeds Utd  	1.62 	0.77 	2.38 	   	1.75 	1.17 	2.92 	   	1.68 	0.96 	2.64 	25
 Middlesbrough  	1.00 	0.62 	1.62 	   	1.17 	0.75 	1.92 	   	1.08 	0.68 	1.76 	25
 Millwall  	1.54 	1.23 	2.77 	   	0.83 	1.92 	2.75 	   	1.20 	1.56 	2.76 	25
 Norwich City  	2.00 	1.69 	3.69 	   	1.75 	0.92 	2.67 	   	1.88 	1.32 	3.20 	25
 Nottm Forest  	1.08 	0.83 	1.92 	   	1.69 	1.31 	3.00 	   	1.40 	1.08 	2.48 	25
 Preston  	2.15 	1.62 	3.77 	   	0.75 	1.67 	2.42 	   	1.48 	1.64 	3.12 	25
 QP Rangers  	1.46 	1.00 	2.46 	   	1.00 	1.58 	2.58 	   	1.24 	1.28 	2.52 	25
 Reading  	1.33 	1.50 	2.83 	   	0.85 	1.46 	2.31 	   	1.08 	1.48 	2.56 	25
 Rotherham  	1.25 	1.33 	2.58 	   	0.62 	1.85 	2.46 	   	0.92 	1.60 	2.52 	25
 Sheffield Utd  	1.77 	1.00 	2.77 	   	1.58 	1.25 	2.83 	   	1.68 	1.12 	2.80 	25
 Sheffield Wed  	1.33 	1.50 	2.83 	   	1.15 	1.77 	2.92 	   	1.24 	1.64 	2.88 	25
 Stoke City  	1.25 	0.92 	2.17 	   	1.15 	1.38 	2.54 	   	1.20 	1.16 	2.36 	25
 Swansea City  	1.46 	1.31 	2.77 	   	1.00 	1.08 	2.08 	   	1.24 	1.20 	2.44 	25
 West Bromwich  	2.46 	1.31 	3.77 	   	1.75 	1.25 	3.00 	   	2.12 	1.28 	3.40 	25
 Wigan Athletic  	1.17 	1.00 	2.17 	   	0.85 	1.92 	2.77 	   	1.00 	1.48 	2.48 	25
