	Average goals at home 	  	Average goals away 	  	Avgerage goals overall 	Pld
Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total
 Aston Villa  	2.31 	1.88 	4.19 	   	1.19 	1.25 	2.44 	   	1.75 	1.56 	3.31 	32
 Birmingham City  	1.50 	0.94 	2.44 	   	1.56 	1.56 	3.13 	   	1.53 	1.25 	2.78 	32
 Blackburn  	1.44 	1.00 	2.44 	   	1.25 	2.06 	3.31 	   	1.34 	1.53 	2.88 	32
 Bolton  	0.63 	1.31 	1.94 	   	0.69 	1.63 	2.31 	   	0.66 	1.47 	2.13 	32
 Brentford  	2.00 	1.13 	3.13 	   	1.20 	1.67 	2.87 	   	1.61 	1.39 	3.00 	31
 Bristol City  	1.25 	0.94 	2.19 	   	1.33 	1.00 	2.33 	   	1.29 	0.97 	2.26 	31
 Derby County  	1.47 	1.00 	2.47 	   	1.31 	1.31 	2.63 	   	1.39 	1.16 	2.55 	31
 Hull City  	1.56 	0.94 	2.50 	   	1.25 	1.69 	2.94 	   	1.41 	1.31 	2.72 	32
 Ipswich Town  	0.94 	1.31 	2.25 	   	0.56 	2.13 	2.69 	   	0.75 	1.72 	2.47 	32
 Leeds Utd  	1.63 	0.88 	2.50 	   	1.69 	1.38 	3.06 	   	1.66 	1.13 	2.78 	32
 Middlesbrough  	1.00 	0.67 	1.67 	   	1.25 	0.88 	2.13 	   	1.13 	0.77 	1.90 	31
 Millwall  	1.25 	1.13 	2.38 	   	0.93 	1.80 	2.73 	   	1.10 	1.45 	2.55 	31
 Norwich City  	2.13 	1.56 	3.69 	   	1.69 	1.06 	2.75 	   	1.91 	1.31 	3.22 	32
 Nottm Forest  	1.38 	0.94 	2.31 	   	1.50 	1.44 	2.94 	   	1.44 	1.19 	2.63 	32
 Preston  	2.00 	1.44 	3.44 	   	1.13 	1.50 	2.63 	   	1.56 	1.47 	3.03 	32
 QP Rangers  	1.53 	1.40 	2.93 	   	1.00 	1.63 	2.63 	   	1.26 	1.52 	2.77 	31
 Reading  	1.31 	1.44 	2.75 	   	0.81 	1.38 	2.19 	   	1.06 	1.41 	2.47 	32
 Rotherham  	1.31 	1.50 	2.81 	   	0.63 	1.69 	2.31 	   	0.97 	1.59 	2.56 	32
 Sheffield Utd  	1.69 	0.81 	2.50 	   	1.69 	1.31 	3.00 	   	1.69 	1.06 	2.75 	32
 Sheffield Wed  	1.20 	1.27 	2.47 	   	1.00 	1.63 	2.63 	   	1.10 	1.45 	2.55 	31
 Stoke City  	1.06 	1.06 	2.13 	   	1.00 	1.44 	2.44 	   	1.03 	1.25 	2.28 	32
 Swansea City  	1.50 	1.25 	2.75 	   	1.13 	1.19 	2.31 	   	1.31 	1.22 	2.53 	32
 West Bromwich  	2.31 	1.44 	3.75 	   	1.67 	1.13 	2.80 	   	2.00 	1.29 	3.29 	31
 Wigan Athletic  	1.19 	1.00 	2.19 	   	0.81 	1.88 	2.69 	   	1.00 	1.44 	2.44 	32
