1 	Bristol City 	6 	6 	0 	0 	10 	2 	+8 	18
2 	Preston 	6 	4 	2 	0 	12 	4 	+8 	14
3 	Brentford 	6 	4 	1 	1 	15 	8 	+7 	13
4 	Norwich City 	6 	3 	2 	1 	13 	8 	+5 	11
5 	Sheffield Utd 	6 	3 	2 	1 	9 	6 	+3 	11
6 	Leeds Utd 	6 	3 	1 	2 	9 	8 	+1 	10
7 	Blackburn 	6 	3 	0 	3 	10 	8 	+2 	9
8 	Reading 	6 	2 	3 	1 	6 	4 	+2 	9
9 	Middlesbrough 	6 	2 	3 	1 	8 	7 	+1 	9
10 	Derby County 	6 	2 	3 	1 	6 	5 	+1 	9
11 	Sheffield Wed 	6 	2 	3 	1 	3 	4 	-1 	9
12 	West Bromwich 	6 	2 	2 	2 	9 	8 	+1 	8
13 	Wigan Athletic 	6 	2 	2 	2 	7 	6 	+1 	8
14 	Hull City 	6 	2 	2 	2 	9 	9 	0 	8
15 	Swansea City 	6 	2 	2 	2 	7 	8 	-1 	8
16 	Birmingham City 	6 	2 	1 	3 	11 	12 	-1 	7
17 	Nottm Forest 	6 	2 	1 	3 	7 	9 	-2 	7
18 	Millwall 	6 	1 	3 	2 	4 	6 	-2 	6
19 	Aston Villa 	6 	1 	3 	2 	7 	10 	-3 	6
20 	Bolton 	6 	1 	1 	4 	4 	9 	-5 	4
21 	Ipswich Town 	6 	1 	1 	4 	3 	9 	-6 	4
22 	Stoke City 	6 	1 	1 	4 	3 	9 	-6 	4
23 	Rotherham 	6 	0 	3 	3 	6 	10 	-4 	3
24 	QP Rangers 	6 	0 	1 	5 	8 	15 	-7 	1
