1	Leeds 	39	15.3	411	59.2	79.1	22.2	6.87
2	Derby 	32	14.6	441	55.6	78.8	20.7	6.71
3	Brentford 	34	14.5	392	56.1	79.6	16.3	6.68
4	Aston Villa 	45	14.3	341	54.0	80.0	23.6	6.79
5	West Bromwich Albion 	50	14.3	371	52.3	78.6	21.9	6.87
6	Norwich 	41	14.2	380	54.9	78.7	18.6	6.82
7	Rotherham 	22	13.7	310	43.4	61.8	31	6.68
8	Middlesbrough 	25	13.3	401	46.1	70.8	27.8	6.81
9	Queens Park Rangers 	28	13	400	45.8	68.4	27.4	6.72
10	Bristol City 	28	13	341	50.9	71.5	29	6.75
11	Sheffield United 	36	12.9	380	52.4	76.4	24.7	6.79
12	Millwall 	28	12.5	391	45.2	63.8	34.1	6.62
13	Wigan 	23	12.3	483	48.7	69.7	27.1	6.58
14	Swansea 	29	12.3	201	53.5	81.5	19.7	6.72
15	Birmingham 	35	12.3	382	42.1	60.5	33.6	6.84
16	Preston 	35	12.3	383	50.9	70.0	31.6	6.71
17	Nottingham Forest 	32	11.9	562	52.1	75.2	20.3	6.82
18	Blackburn 	29	11.6	370	50.2	69.8	24.7	6.68
19	Stoke 	30	11.6	312	51.5	78.2	21.8	6.72
20	Sheffield Wednesday 	29	11.5	381	48.6	74.4	25.3	6.67
21	Reading 	27	11.3	401	48.3	74.0	24.1	6.66
22	Hull 	26	11	311	46.4	68.1	26.4	6.66
23	Bolton 	15	9.8	482	43.3	66.6	33.4	6.63
24	Ipswich 	19	9	363	48.6	65.4	29.2	6.51
