1	Swansea 	42	12.5	321	53.8	82.2	19.4	6.73
2	Leeds 	53	16.1	563	59.7	79.6	21.6	6.82
3	Aston Villa 	56	14.1	581	53.2	79.5	23.3	6.76
4	Brentford 	50	15	512	56.1	79.3	16.2	6.73
5	Norwich 	65	14.7	630	54.9	78.7	18.2	6.84
6	West Bromwich Albion 	64	14.1	563	52.6	78.5	21.7	6.85
7	Stoke 	34	11.4	532	51.5	77.4	23.7	6.67
8	Derby 	43	13.9	641	53.7	77.1	19.9	6.70
9	Reading 	34	11.4	573	50.5	77.1	22.3	6.65
10	Sheffield United 	58	13.1	621	51.3	75.9	25.1	6.86
11	Nottingham Forest 	46	11.4	795	50.4	73.8	20.5	6.79
12	Sheffield Wednesday 	36	11.7	512	49.1	73.1	27.1	6.71
13	Bristol City 	40	13.2	421	51.1	72.1	29.2	6.82
14	Preston 	50	13	514	50.8	70.4	32	6.77
15	Middlesbrough 	36	13.5	572	46.1	70.3	27.7	6.79
16	Wigan 	32	12.1	703	48.4	70.1	26.9	6.59
17	Blackburn 	43	11.2	502	49.8	69.9	24.5	6.69
18	Queens Park Rangers 	39	13.2	610	45.7	68.7	29.5	6.71
19	Hull 	45	10.9	431	46.5	68.2	26.9	6.73
20	Ipswich 	25	9.1	513	49.5	66.9	29.4	6.52
21	Bolton 	21	9.6	662	43.3	66.4	33.7	6.61
22	Millwall 	34	11.9	491	45.2	63.6	33.2	6.64
23	Birmingham 	49	12.2	573	42.9	61.8	34	6.84
24	Rotherham 	33	13.8	512	44.0	60.7	34.2	6.68
