	Average goals at home 	  	Average goals away 	  	Avgerage goals overall 	Pld
Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total
 Aston Villa  	2.30 	1.65 	3.95 	   	1.35 	1.15 	2.50 	   	1.83 	1.40 	3.23 	40
 Birmingham City  	1.35 	1.00 	2.35 	   	1.45 	1.60 	3.05 	   	1.40 	1.30 	2.70 	40
 Blackburn  	1.30 	0.95 	2.25 	   	1.35 	2.20 	3.55 	   	1.33 	1.58 	2.90 	40
 Bolton  	0.65 	1.50 	2.15 	   	0.80 	1.80 	2.60 	   	0.73 	1.65 	2.38 	40
 Brentford  	2.15 	1.15 	3.30 	   	1.00 	1.65 	2.65 	   	1.58 	1.40 	2.98 	40
 Bristol City  	1.20 	1.05 	2.25 	   	1.42 	1.11 	2.53 	   	1.31 	1.08 	2.38 	39
 Derby County  	1.55 	0.95 	2.50 	   	1.26 	1.53 	2.79 	   	1.41 	1.23 	2.64 	39
 Hull City  	1.70 	0.95 	2.65 	   	1.25 	1.90 	3.15 	   	1.48 	1.43 	2.90 	40
 Ipswich Town  	0.90 	1.35 	2.25 	   	0.70 	1.90 	2.60 	   	0.80 	1.63 	2.43 	40
 Leeds Utd  	1.75 	0.90 	2.65 	   	1.55 	1.20 	2.75 	   	1.65 	1.05 	2.70 	40
 Middlesbrough  	0.95 	0.80 	1.75 	   	1.10 	1.00 	2.10 	   	1.03 	0.90 	1.93 	40
 Millwall  	1.26 	1.26 	2.53 	   	1.05 	1.70 	2.75 	   	1.15 	1.49 	2.64 	39
 Norwich City  	2.25 	1.45 	3.70 	   	1.85 	0.95 	2.80 	   	2.05 	1.20 	3.25 	40
 Nottm Forest  	1.45 	0.95 	2.40 	   	1.30 	1.40 	2.70 	   	1.38 	1.18 	2.55 	40
 Preston  	1.70 	1.25 	2.95 	   	1.25 	1.40 	2.65 	   	1.48 	1.33 	2.80 	40
 QP Rangers  	1.40 	1.40 	2.80 	   	0.90 	1.85 	2.75 	   	1.15 	1.63 	2.78 	40
 Reading  	1.35 	1.50 	2.85 	   	0.80 	1.50 	2.30 	   	1.08 	1.50 	2.58 	40
 Rotherham  	1.45 	1.55 	3.00 	   	0.70 	1.85 	2.55 	   	1.08 	1.70 	2.78 	40
 Sheffield Utd  	1.85 	0.80 	2.65 	   	1.50 	1.05 	2.55 	   	1.68 	0.93 	2.60 	40
 Sheffield Wed  	1.40 	1.25 	2.65 	   	1.05 	1.45 	2.50 	   	1.23 	1.35 	2.58 	40
 Stoke City  	1.00 	0.90 	1.90 	   	0.90 	1.20 	2.10 	   	0.95 	1.05 	2.00 	40
 Swansea City  	1.68 	1.11 	2.79 	   	1.00 	1.40 	2.40 	   	1.33 	1.26 	2.59 	39
 West Bromwich  	2.20 	1.35 	3.55 	   	1.55 	1.25 	2.80 	   	1.88 	1.30 	3.18 	40
 Wigan Athletic  	1.25 	0.95 	2.20 	   	0.90 	2.00 	2.90 	   	1.08 	1.48 	2.55 	40
