1 	Sheffield Utd 	6 	5 	1 	0 	10 	0 	+10 	16
2 	Leeds Utd 	6 	5 	0 	1 	12 	3 	+9 	15
3 	Norwich City 	6 	5 	0 	1 	15 	8 	+7 	15
4 	Preston 	6 	4 	2 	0 	10 	4 	+6 	14
5 	Sheffield Wed 	6 	3 	3 	0 	10 	4 	+6 	12
6 	Brentford 	6 	4 	0 	2 	11 	6 	+5 	12
7 	Aston Villa 	6 	3 	1 	2 	9 	5 	+4 	10
8 	West Bromwich 	6 	3 	1 	2 	9 	8 	+1 	10
9 	Reading 	6 	3 	1 	2 	8 	12 	-4 	10
10 	Rotherham 	6 	2 	3 	1 	10 	10 	0 	9
11 	Stoke City 	6 	1 	5 	0 	4 	2 	+2 	8
12 	Nottm Forest 	6 	2 	2 	2 	7 	7 	0 	8
13 	Middlesbrough 	6 	2 	1 	3 	5 	5 	0 	7
14 	Hull City 	6 	2 	1 	3 	9 	14 	-5 	7
15 	Millwall 	6 	2 	0 	4 	7 	10 	-3 	6
16 	Swansea City 	6 	2 	0 	4 	5 	9 	-4 	6
17 	Bolton 	6 	2 	0 	4 	4 	11 	-7 	6
18 	Ipswich Town 	6 	0 	5 	1 	6 	7 	-1 	5
19 	Bristol City 	6 	1 	2 	3 	7 	9 	-2 	5
20 	Derby County 	6 	1 	2 	3 	3 	8 	-5 	5
21 	Blackburn 	6 	1 	1 	4 	8 	9 	-1 	4
22 	Birmingham City 	6 	1 	1 	4 	4 	9 	-5 	4
23 	QP Rangers 	6 	1 	1 	4 	4 	10 	-6 	4
24 	Wigan Athletic 	6 	0 	3 	3 	4 	9 	-5 	3 
