1	Leeds 	63	15.9	653	59.3	79.1	21.5	6.85
2	Brentford 	60	15.3	552	56.4	79.8	15.9	6.75
3	Norwich 	75	14.7	660	54.9	78.9	17.7	6.85
4	West Bromwich Albion 	71	14	633	51.9	77.9	21.5	6.82
5	Middlesbrough 	40	13.8	663	46.1	70.8	27.4	6.79
6	Aston Villa 	65	13.7	671	53.3	79.4	23.3	6.78
7	Derby 	46	13.5	771	53.6	76.8	19.6	6.65
8	Rotherham 	39	13.4	583	43.9	60.9	34.6	6.68
9	Queens Park Rangers 	43	13	711	46.2	69.2	29.9	6.68
10	Preston 	57	13	545	50.8	70.2	32.4	6.79
11	Swansea 	45	13	341	54.8	83.2	18.8	6.70
12	Sheffield United 	63	12.8	662	51.1	75.8	25	6.88
13	Bristol City 	45	12.8	561	51.0	71.8	30.7	6.79
14	Wigan 	36	12.5	813	48.7	70.1	26.9	6.57
15	Birmingham 	53	12.4	643	43.6	62.1	34.7	6.81
16	Nottingham Forest 	51	11.9	885	50.1	73.6	20.8	6.78
17	Sheffield Wednesday 	44	11.8	562	48.9	73.1	28.4	6.76
18	Millwall 	41	11.8	631	45.2	63.9	33.8	6.65
19	Blackburn 	50	11.6	582	49.9	69.3	25.1	6.69
20	Reading 	40	11.4	663	50.5	76.9	22.8	6.67
21	Stoke 	37	10.9	623	50.8	76.6	24.1	6.69
22	Hull 	52	10.7	531	46.7	68.4	26.4	6.73
23	Bolton 	24	9.7	704	43.0	66.0	32.9	6.61
24	Ipswich 	29	9.7	614	49.3	67.1	28.8	6.53
