	Average goals at home 	  	Average goals away 	  	Avgerage goals overall 	Pld
Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total
 Aston Villa  	2.28 	1.78 	4.06 	   	1.26 	1.16 	2.42 	   	1.76 	1.46 	3.22 	37
 Birmingham City  	1.37 	1.05 	2.42 	   	1.50 	1.56 	3.06 	   	1.43 	1.30 	2.73 	37
 Blackburn  	1.37 	0.95 	2.32 	   	1.33 	2.11 	3.44 	   	1.35 	1.51 	2.86 	37
 Bolton  	0.63 	1.47 	2.11 	   	0.67 	1.67 	2.33 	   	0.65 	1.57 	2.22 	37
 Brentford  	2.22 	1.06 	3.28 	   	1.11 	1.67 	2.78 	   	1.67 	1.36 	3.03 	36
 Bristol City  	1.16 	1.00 	2.16 	   	1.35 	1.12 	2.47 	   	1.25 	1.06 	2.31 	36
 Derby County  	1.32 	0.95 	2.26 	   	1.17 	1.44 	2.61 	   	1.24 	1.19 	2.43 	37
 Hull City  	1.61 	0.89 	2.50 	   	1.21 	2.00 	3.21 	   	1.41 	1.46 	2.86 	37
 Ipswich Town  	0.94 	1.33 	2.28 	   	0.63 	1.95 	2.58 	   	0.78 	1.65 	2.43 	37
 Leeds Utd  	1.78 	0.83 	2.61 	   	1.63 	1.21 	2.84 	   	1.70 	1.03 	2.73 	37
 Middlesbrough  	1.06 	0.78 	1.83 	   	1.17 	0.78 	1.94 	   	1.11 	0.78 	1.89 	36
 Millwall  	1.22 	1.33 	2.56 	   	1.00 	1.63 	2.63 	   	1.11 	1.49 	2.59 	37
 Norwich City  	2.16 	1.53 	3.68 	   	1.89 	1.00 	2.89 	   	2.03 	1.27 	3.30 	37
 Nottm Forest  	1.42 	0.95 	2.37 	   	1.33 	1.39 	2.72 	   	1.38 	1.16 	2.54 	37
 Preston  	1.83 	1.33 	3.17 	   	1.26 	1.37 	2.63 	   	1.54 	1.35 	2.89 	37
 QP Rangers  	1.42 	1.37 	2.79 	   	0.89 	1.72 	2.61 	   	1.16 	1.54 	2.70 	37
 Reading  	1.32 	1.53 	2.84 	   	0.83 	1.50 	2.33 	   	1.08 	1.51 	2.59 	37
 Rotherham  	1.44 	1.56 	3.00 	   	0.68 	1.63 	2.32 	   	1.05 	1.59 	2.65 	37
 Sheffield Utd  	1.84 	0.68 	2.53 	   	1.56 	1.17 	2.72 	   	1.70 	0.92 	2.62 	37
 Sheffield Wed  	1.28 	1.11 	2.39 	   	1.11 	1.53 	2.63 	   	1.19 	1.32 	2.51 	37
 Stoke City  	1.11 	1.00 	2.11 	   	0.89 	1.26 	2.16 	   	1.00 	1.14 	2.14 	37
 Swansea City  	1.53 	1.18 	2.71 	   	1.00 	1.37 	2.37 	   	1.25 	1.28 	2.53 	36
 West Bromwich  	2.16 	1.32 	3.47 	   	1.67 	1.28 	2.94 	   	1.92 	1.30 	3.22 	37
 Wigan Athletic  	1.11 	0.94 	2.06 	   	0.84 	2.00 	2.84 	   	0.97 	1.49 	2.46 	37 
