1	Leeds 	60	16	623	59.3	79.0	21.7	6.84
2	Brentford 	60	14.9	552	56.2	79.4	16	6.76
3	Norwich 	72	14.6	650	54.8	78.8	17.8	6.85
4	West Bromwich Albion 	68	13.9	633	52.4	78.0	21.8	6.81
5	Aston Villa 	62	13.8	641	53.4	79.6	23.6	6.78
6	Middlesbrough 	39	13.6	662	46.2	70.9	27.4	6.79
7	Rotherham 	37	13.5	573	43.8	61.1	34	6.67
8	Derby 	46	13.3	771	53.6	76.9	19.7	6.64
9	Queens Park Rangers 	42	13.1	691	46.0	69.5	29.6	6.69
10	Swansea 	45	12.9	341	54.4	82.9	19.1	6.72
11	Sheffield United 	61	12.9	651	51.6	75.9	25.1	6.87
12	Preston 	55	12.9	525	50.7	69.9	32.5	6.78
13	Bristol City 	44	12.8	551	51.0	71.9	30.4	6.79
14	Wigan 	36	12.6	773	48.6	70.2	26.8	6.59
15	Birmingham 	53	12.4	633	43.2	61.9	34.6	6.83
16	Millwall 	39	11.9	611	45.3	64.3	33.6	6.64
17	Sheffield Wednesday 	42	11.9	562	48.8	73.1	28.1	6.74
18	Nottingham Forest 	50	11.8	855	50.1	73.6	20.9	6.79
19	Reading 	40	11.4	653	50.8	77.0	23.2	6.68
20	Blackburn 	47	11.4	552	50.0	69.4	25	6.68
21	Stoke 	37	11.1	603	50.9	76.7	24.1	6.69
22	Hull 	50	10.8	501	46.8	68.5	26.5	6.73
23	Ipswich 	28	9.8	584	49.3	67.2	29	6.54
24	Bolton 	24	9.7	704	42.9	66.1	33.1	6.62
