	Average goals at home 	  	Average goals away 	  	Avgerage goals overall 	Pld
Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total
 Aston Villa  	2.32 	1.68 	4.00 	   	1.26 	1.16 	2.42 	   	1.79 	1.42 	3.21 	38
 Birmingham City  	1.37 	1.05 	2.42 	   	1.42 	1.53 	2.95 	   	1.39 	1.29 	2.68 	38
 Blackburn  	1.37 	0.95 	2.32 	   	1.37 	2.21 	3.58 	   	1.37 	1.58 	2.95 	38
 Bolton  	0.63 	1.47 	2.11 	   	0.74 	1.84 	2.58 	   	0.68 	1.66 	2.34 	38
 Brentford  	2.11 	1.05 	3.16 	   	1.11 	1.67 	2.78 	   	1.62 	1.35 	2.97 	37
 Bristol City  	1.16 	1.00 	2.16 	   	1.35 	1.12 	2.47 	   	1.25 	1.06 	2.31 	36
 Derby County  	1.32 	0.95 	2.26 	   	1.17 	1.44 	2.61 	   	1.24 	1.19 	2.43 	37
 Hull City  	1.63 	0.95 	2.58 	   	1.21 	2.00 	3.21 	   	1.42 	1.47 	2.89 	38
 Ipswich Town  	0.95 	1.32 	2.26 	   	0.63 	1.95 	2.58 	   	0.79 	1.63 	2.42 	38
 Leeds Utd  	1.68 	0.84 	2.53 	   	1.63 	1.21 	2.84 	   	1.66 	1.03 	2.68 	38
 Middlesbrough  	1.06 	0.78 	1.83 	   	1.11 	0.89 	2.00 	   	1.08 	0.84 	1.92 	37
 Millwall  	1.22 	1.33 	2.56 	   	1.00 	1.63 	2.63 	   	1.11 	1.49 	2.59 	37
 Norwich City  	2.16 	1.53 	3.68 	   	1.89 	1.00 	2.89 	   	2.03 	1.26 	3.29 	38
 Nottm Forest  	1.42 	0.95 	2.37 	   	1.32 	1.37 	2.68 	   	1.37 	1.16 	2.53 	38
 Preston  	1.79 	1.26 	3.05 	   	1.26 	1.37 	2.63 	   	1.53 	1.32 	2.84 	38
 QP Rangers  	1.42 	1.37 	2.79 	   	0.95 	1.74 	2.68 	   	1.18 	1.55 	2.74 	38
 Reading  	1.32 	1.53 	2.84 	   	0.79 	1.42 	2.21 	   	1.05 	1.47 	2.53 	38
 Rotherham  	1.42 	1.58 	3.00 	   	0.68 	1.63 	2.32 	   	1.05 	1.61 	2.66 	38
 Sheffield Utd  	1.84 	0.68 	2.53 	   	1.53 	1.11 	2.63 	   	1.68 	0.89 	2.58 	38
 Sheffield Wed  	1.42 	1.16 	2.58 	   	1.11 	1.53 	2.63 	   	1.26 	1.34 	2.61 	38
 Stoke City  	1.05 	0.95 	2.00 	   	0.89 	1.26 	2.16 	   	0.97 	1.11 	2.08 	38
 Swansea City  	1.53 	1.18 	2.71 	   	1.00 	1.37 	2.37 	   	1.25 	1.28 	2.53 	36
 West Bromwich  	2.16 	1.32 	3.47 	   	1.63 	1.21 	2.84 	   	1.89 	1.26 	3.16 	38
 Wigan Athletic  	1.32 	1.00 	2.32 	   	0.84 	2.00 	2.84 	   	1.08 	1.50 	2.58 	38 
