	Average goals at home 	  	Average goals away 	  	Avgerage goals overall 	Pld
Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total
 Aston Villa  	2.31 	1.85 	4.15 	   	1.36 	1.36 	2.71 	   	1.81 	1.59 	3.41 	27
 Birmingham City  	1.57 	1.00 	2.57 	   	1.31 	1.23 	2.54 	   	1.44 	1.11 	2.56 	27
 Blackburn  	1.38 	1.15 	2.54 	   	1.21 	1.86 	3.07 	   	1.30 	1.52 	2.81 	27
 Bolton  	0.62 	1.23 	1.85 	   	0.71 	1.71 	2.43 	   	0.67 	1.48 	2.15 	27
 Brentford  	1.86 	1.14 	3.00 	   	1.00 	1.62 	2.62 	   	1.44 	1.37 	2.81 	27
 Bristol City  	1.14 	1.00 	2.14 	   	1.38 	1.15 	2.54 	   	1.26 	1.07 	2.33 	27
 Derby County  	1.38 	1.08 	2.46 	   	1.43 	1.43 	2.86 	   	1.41 	1.26 	2.67 	27
 Hull City  	1.50 	0.93 	2.43 	   	1.38 	1.54 	2.92 	   	1.44 	1.22 	2.67 	27
 Ipswich Town  	1.00 	1.36 	2.36 	   	0.62 	2.08 	2.69 	   	0.81 	1.70 	2.52 	27
 Leeds Utd  	1.64 	0.71 	2.36 	   	1.77 	1.38 	3.15 	   	1.70 	1.04 	2.74 	27
 Middlesbrough  	1.00 	0.62 	1.62 	   	1.21 	0.79 	2.00 	   	1.11 	0.70 	1.81 	27
 Millwall  	1.43 	1.29 	2.71 	   	1.00 	1.92 	2.92 	   	1.22 	1.59 	2.81 	27
 Norwich City  	2.00 	1.69 	3.69 	   	1.64 	0.93 	2.57 	   	1.81 	1.30 	3.11 	27
 Nottm Forest  	1.31 	0.92 	2.23 	   	1.57 	1.36 	2.93 	   	1.44 	1.15 	2.59 	27
 Preston  	2.07 	1.57 	3.64 	   	0.77 	1.69 	2.46 	   	1.44 	1.63 	3.07 	27
 QP Rangers  	1.46 	1.00 	2.46 	   	1.00 	1.57 	2.57 	   	1.22 	1.30 	2.52 	27
 Reading  	1.36 	1.57 	2.93 	   	0.85 	1.46 	2.31 	   	1.11 	1.52 	2.63 	27
 Rotherham  	1.31 	1.31 	2.62 	   	0.57 	1.79 	2.36 	   	0.93 	1.56 	2.48 	27
 Sheffield Utd  	1.71 	0.93 	2.64 	   	1.69 	1.15 	2.85 	   	1.70 	1.04 	2.74 	27
 Sheffield Wed  	1.31 	1.46 	2.77 	   	1.07 	1.86 	2.93 	   	1.19 	1.67 	2.85 	27
 Stoke City  	1.15 	1.00 	2.15 	   	1.14 	1.50 	2.64 	   	1.15 	1.26 	2.41 	27
 Swansea City  	1.46 	1.31 	2.77 	   	1.21 	1.07 	2.29 	   	1.33 	1.19 	2.52 	27
 West Bromwich  	2.36 	1.29 	3.64 	   	1.69 	1.31 	3.00 	   	2.04 	1.30 	3.33 	27
 Wigan Athletic  	1.21 	1.07 	2.29 	   	0.85 	1.92 	2.77 	   	1.04 	1.48 	2.52 	27
