1	Leeds 	46	15.8	472	59.5	79.2	21.4	6.85
2	Norwich 	49	14.7	520	54.9	78.5	18.3	6.80
3	Brentford 	39	14.3	492	55.5	79.0	16.1	6.69
4	West Bromwich Albion 	55	14.2	473	52.5	78.5	22.3	6.85
5	Aston Villa 	49	14.1	421	53.8	79.8	23.7	6.79
6	Derby 	38	14	561	54.4	77.6	19.9	6.68
7	Rotherham 	25	13.8	392	44.1	61.4	32.7	6.68
8	Middlesbrough 	30	13.2	471	46.2	70.6	28.1	6.81
9	Bristol City 	34	13.1	371	51.1	71.8	29	6.79
10	Sheffield United 	46	13	491	51.8	75.8	24.8	6.84
11	Queens Park Rangers 	33	12.7	500	45.3	68.6	27.7	6.73
12	Preston 	39	12.7	434	50.3	69.6	31.2	6.70
13	Wigan 	28	12.7	593	48.6	70.3	26.6	6.59
14	Swansea 	36	12.5	291	53.5	81.7	20.1	6.72
15	Birmingham 	39	12.3	452	42.7	60.9	34	6.85
16	Millwall 	33	12.3	451	45.2	63.7	33.2	6.63
17	Nottingham Forest 	39	11.6	674	51.5	75.3	20	6.80
18	Reading 	30	11.5	483	49.5	76.0	22.7	6.65
19	Stoke 	31	11.5	432	52.1	77.9	22.9	6.68
20	Hull 	39	11.5	361	46.6	68.2	27.3	6.75
21	Blackburn 	35	11.1	431	49.8	69.5	24.9	6.68
22	Sheffield Wednesday 	32	11	451	48.5	73.9	26.2	6.68
23	Bolton 	18	9.7	562	43.3	65.9	33.9	6.61
24	Ipswich 	22	8.7	423	49.3	66.2	29.6	6.52
