	Average goals at home 	  	Average goals away 	  	Avgerage goals overall 	Pld
Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total
 Aston Villa  	2.23 	1.55 	3.77 	   	1.41 	1.09 	2.50 	   	1.82 	1.32 	3.14 	44
 Birmingham City  	1.36 	1.05 	2.41 	   	1.50 	1.55 	3.05 	   	1.43 	1.30 	2.73 	44
 Blackburn  	1.36 	0.86 	2.23 	   	1.41 	2.09 	3.50 	   	1.39 	1.48 	2.86 	44
 Bolton  	0.59 	1.55 	2.14 	   	0.73 	1.91 	2.64 	   	0.66 	1.73 	2.39 	44
 Brentford  	2.14 	1.05 	3.18 	   	1.00 	1.64 	2.64 	   	1.57 	1.34 	2.91 	44
 Bristol City  	1.27 	1.09 	2.36 	   	1.33 	1.19 	2.52 	   	1.30 	1.14 	2.44 	43
 Derby County  	1.68 	0.86 	2.55 	   	1.24 	1.57 	2.81 	   	1.47 	1.21 	2.67 	43
 Hull City  	1.64 	1.05 	2.68 	   	1.23 	1.91 	3.14 	   	1.43 	1.48 	2.91 	44
 Ipswich Town  	0.86 	1.32 	2.18 	   	0.64 	2.00 	2.64 	   	0.75 	1.66 	2.41 	44
 Leeds Utd  	1.68 	0.91 	2.59 	   	1.50 	1.18 	2.68 	   	1.59 	1.05 	2.64 	44
 Middlesbrough  	0.95 	0.73 	1.68 	   	1.09 	1.05 	2.14 	   	1.02 	0.89 	1.91 	44
 Millwall  	1.19 	1.19 	2.38 	   	1.00 	1.64 	2.64 	   	1.09 	1.42 	2.51 	43
 Norwich City  	2.23 	1.50 	3.73 	   	1.82 	1.00 	2.82 	   	2.02 	1.25 	3.27 	44
 Nottm Forest  	1.50 	0.95 	2.45 	   	1.18 	1.50 	2.68 	   	1.34 	1.23 	2.57 	44
 Preston  	1.73 	1.23 	2.95 	   	1.18 	1.55 	2.73 	   	1.45 	1.39 	2.84 	44
 QP Rangers  	1.50 	1.36 	2.86 	   	0.82 	1.77 	2.59 	   	1.16 	1.57 	2.73 	44
 Reading  	1.32 	1.41 	2.73 	   	0.86 	1.50 	2.36 	   	1.09 	1.45 	2.55 	44
 Rotherham  	1.41 	1.64 	3.05 	   	0.86 	1.95 	2.82 	   	1.14 	1.80 	2.93 	44
 Sheffield Utd  	1.82 	0.77 	2.59 	   	1.55 	1.00 	2.55 	   	1.68 	0.89 	2.57 	44
 Sheffield Wed  	1.50 	1.14 	2.64 	   	1.05 	1.45 	2.50 	   	1.27 	1.30 	2.57 	44
 Stoke City  	1.09 	1.00 	2.09 	   	0.86 	1.27 	2.14 	   	0.98 	1.14 	2.11 	44
 Swansea City  	1.86 	1.19 	3.05 	   	0.95 	1.45 	2.41 	   	1.40 	1.33 	2.72 	43
 West Bromwich  	2.32 	1.36 	3.68 	   	1.50 	1.27 	2.77 	   	1.91 	1.32 	3.23 	44
 Wigan Athletic  	1.27 	0.91 	2.18 	   	0.95 	1.95 	2.91 	   	1.11 	1.43 	2.55 	44
