1	Leeds 	70	16.8	794	59.6	79.2	21.6	6.82
2	Norwich 	89	15	751	55.8	79.5	17.4	6.86
3	Brentford 	69	14.8	743	56.1	80.0	15.6	6.73
4	Aston Villa 	80	14.3	762	53.5	79.5	23.1	6.82
5	West Bromwich Albion 	84	13.8	724	51.6	77.3	21.5	6.82
6	Middlesbrough 	45	13.6	753	45.8	71.7	27.1	6.75
7	Swansea 	60	13.6	401	55.8	83.8	18.8	6.74
8	Rotherham 	50	13.5	693	43.8	61.4	33.5	6.65
9	Derby 	63	13.5	871	54.1	77.3	20	6.69
10	Queens Park Rangers 	51	13.3	891	45.8	68.6	30.5	6.69
11	Bristol City 	56	13	751	51.1	72.6	30.4	6.81
12	Preston 	64	12.7	667	51.1	70.8	31	6.74
13	Sheffield United 	74	12.7	743	51.1	76.1	25.8	6.89
14	Birmingham 	63	12.6	793	43.3	61.7	35	6.81
15	Wigan 	49	12.5	904	47.7	69.4	26.8	6.62
16	Nottingham Forest 	59	12.3	1026	49.8	73.6	21.3	6.76
17	Blackburn 	61	11.9	692	50.2	70.7	24.3	6.70
18	Millwall 	47	11.6	771	45.1	64.1	33.2	6.66
19	Sheffield Wednesday 	56	11.5	712	48.5	72.8	28.6	6.78
20	Reading 	48	11	803	49.5	76.6	22.2	6.68
21	Hull 	63	11	631	47.5	69.4	26.6	6.73
22	Stoke 	43	10.7	685	50.4	76.7	23.7	6.69
23	Ipswich 	33	10	714	49.6	68.4	28.4	6.53
24	Bolton 	29	9.8	754	43.2	66.6	33.4	6.60
