1	Swansea 	40	12.6	311	54.0	82.1	20	6.73
2	Aston Villa 	53	14.6	471	53.7	79.7	23.6	6.78
3	Leeds 	49	15.8	513	59.8	79.4	21.7	6.84
4	Brentford 	43	14.4	492	55.7	79.2	16.3	6.70
5	Norwich 	54	14.3	550	55.0	78.8	17.8	6.80
6	West Bromwich Albion 	57	14.1	493	52.4	78.3	22.4	6.86
7	Stoke 	33	11.4	462	51.3	77.3	22.9	6.68
8	Derby 	40	13.9	581	53.8	77.3	19.6	6.67
9	Reading 	32	11.6	523	50.3	76.8	22.3	6.65
10	Sheffield United 	48	13.1	551	51.5	75.9	24.9	6.83
11	Nottingham Forest 	42	11.7	734	51.6	75.0	20.3	6.80
12	Sheffield Wednesday 	33	11.3	451	48.5	73.7	26.4	6.69
13	Bristol City 	35	13.1	371	51.1	71.7	29.2	6.80
14	Middlesbrough 	31	13.3	501	46.5	70.8	28.2	6.80
15	Wigan 	29	12.6	633	48.5	70.1	26.6	6.57
16	Preston 	45	12.7	464	50.6	70.0	31.5	6.73
17	Blackburn 	40	11.3	461	50.0	69.6	24.8	6.71
18	Queens Park Rangers 	34	12.8	530	45.3	68.4	28.5	6.72
19	Hull 	41	11.2	401	46.4	68.1	27.1	6.73
20	Ipswich 	23	8.8	443	49.5	66.9	29.7	6.52
21	Bolton 	19	9.9	602	43.4	66.3	33.2	6.60
22	Millwall 	34	12.1	461	45.1	63.6	33.2	6.63
23	Birmingham 	43	12.1	533	42.2	61.4	33.2	6.83
24	Rotherham 	28	13.5	412	43.6	61.4	32.5	6.66
