1	Leeds 	44	15.8	462	59.5	79.3	21.7	6.84
2	Norwich 	48	14.8	480	55.0	78.5	18.5	6.80
3	Aston Villa 	49	14.5	401	54.0	79.8	24.2	6.81
4	Derby 	38	14.3	521	54.9	77.9	20	6.69
5	Brentford 	36	14.3	492	55.6	78.9	16.5	6.68
6	West Bromwich Albion 	54	14.2	443	52.6	78.5	22.4	6.85
7	Rotherham 	25	13.7	382	43.9	61.6	32.5	6.69
8	Middlesbrough 	28	13.4	461	46.2	71.2	28	6.81
9	Sheffield United 	45	13.1	471	51.7	75.7	24.9	6.84
10	Queens Park Rangers 	33	13	490	45.3	68.5	27.7	6.75
11	Preston 	38	12.9	433	50.6	69.6	31.2	6.71
12	Bristol City 	32	12.8	371	50.7	71.4	28.6	6.78
13	Wigan 	25	12.7	563	48.6	70.0	27	6.57
14	Millwall 	33	12.5	451	45.0	63.6	33.3	6.65
15	Swansea 	35	12.5	261	53.3	81.8	19.8	6.73
16	Birmingham 	38	12.2	432	42.2	60.4	33.8	6.85
17	Stoke 	30	11.8	412	52.3	78.0	22.9	6.69
18	Nottingham Forest 	39	11.7	642	51.7	75.1	20.2	6.82
19	Reading 	28	11.5	453	49.4	75.6	23.1	6.64
20	Blackburn 	33	11.3	431	49.7	69.8	24.5	6.67
21	Sheffield Wednesday 	32	11.3	431	48.5	74.0	26.3	6.70
22	Hull 	36	11.3	361	46.4	68.1	27.2	6.73
23	Bolton 	17	9.8	542	43.6	66.2	33.9	6.61
24	Ipswich 	21	9	403	49.3	66.3	28.8	6.50
