	Average goals at home 	  	Average goals away 	  	Avgerage goals overall 	Pld
Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total
 Aston Villa  	2.29 	1.86 	4.14 	   	1.36 	1.36 	2.71 	   	1.82 	1.61 	3.43 	28
 Birmingham City  	1.57 	1.00 	2.57 	   	1.29 	1.36 	2.64 	   	1.43 	1.18 	2.61 	28
 Blackburn  	1.43 	1.07 	2.50 	   	1.21 	1.86 	3.07 	   	1.32 	1.46 	2.79 	28
 Bolton  	0.57 	1.29 	1.86 	   	0.71 	1.71 	2.43 	   	0.64 	1.50 	2.14 	28
 Brentford  	1.86 	1.14 	3.00 	   	1.21 	1.64 	2.86 	   	1.54 	1.39 	2.93 	28
 Bristol City  	1.14 	1.00 	2.14 	   	1.36 	1.07 	2.43 	   	1.25 	1.04 	2.29 	28
 Derby County  	1.43 	1.07 	2.50 	   	1.43 	1.43 	2.86 	   	1.43 	1.25 	2.68 	28
 Hull City  	1.50 	0.93 	2.43 	   	1.43 	1.57 	3.00 	   	1.46 	1.25 	2.71 	28
 Ipswich Town  	1.00 	1.36 	2.36 	   	0.57 	2.07 	2.64 	   	0.79 	1.71 	2.50 	28
 Leeds Utd  	1.64 	0.71 	2.36 	   	1.71 	1.43 	3.14 	   	1.68 	1.07 	2.75 	28
 Middlesbrough  	1.00 	0.64 	1.64 	   	1.21 	0.79 	2.00 	   	1.11 	0.71 	1.82 	28
 Millwall  	1.43 	1.29 	2.71 	   	1.00 	1.86 	2.86 	   	1.21 	1.57 	2.79 	28
 Norwich City  	2.07 	1.64 	3.71 	   	1.64 	0.93 	2.57 	   	1.86 	1.29 	3.14 	28
 Nottm Forest  	1.21 	0.93 	2.14 	   	1.57 	1.36 	2.93 	   	1.39 	1.14 	2.54 	28
 Preston  	2.07 	1.57 	3.64 	   	1.00 	1.64 	2.64 	   	1.54 	1.61 	3.14 	28
 QP Rangers  	1.43 	1.21 	2.64 	   	1.00 	1.57 	2.57 	   	1.21 	1.39 	2.61 	28
 Reading  	1.36 	1.57 	2.93 	   	0.86 	1.50 	2.36 	   	1.11 	1.54 	2.64 	28
 Rotherham  	1.36 	1.50 	2.86 	   	0.57 	1.79 	2.36 	   	0.96 	1.64 	2.61 	28
 Sheffield Utd  	1.71 	0.93 	2.64 	   	1.57 	1.14 	2.71 	   	1.64 	1.04 	2.68 	28
 Sheffield Wed  	1.29 	1.36 	2.64 	   	1.07 	1.86 	2.93 	   	1.18 	1.61 	2.79 	28
 Stoke City  	1.21 	1.00 	2.21 	   	1.14 	1.50 	2.64 	   	1.18 	1.25 	2.43 	28
 Swansea City  	1.43 	1.21 	2.64 	   	1.21 	1.07 	2.29 	   	1.32 	1.14 	2.46 	28
 West Bromwich  	2.36 	1.29 	3.64 	   	1.71 	1.21 	2.93 	   	2.04 	1.25 	3.29 	28
 Wigan Athletic  	1.21 	1.07 	2.29 	   	0.79 	1.86 	2.64 	   	1.00 	1.46 	2.46 	28
